1977,사진예술연구회 창립/초대지도교수 이종열
1978,제 1회 사진전시회/하계워크샵
1979,제 2회 사진전시회/하계워크샵(안면도)/동계워크샵
1980,제 3회 사진전시회/하계워크샵
1981,제 4회 사진전시회/2대 지도교수 김두영 교수님/하계워크샵(남해안일대)
1982,제 5회 사진전시회/3대 지도교수 정상진 교수님/하계워크샵(제주도)
1984,"제 7회 사진전시회/소백산, 월악산 사진촬영/하계워크샵(완도, 제주도)/동계워크샵(안면도,대전)"
1985,"제 8회 사진전시회/하계워크샵(제주도)/신입생 사진전시회/공주,마곡사,회인촬영/동계워크샵(계룡산)"
1986,제 9회 사진전시회/신입생 사진전시회/춘계 엠티(아산만)/하계워크샵(남해안일대)/추계엠티
1987,제 10회 사진전시회/하계워크샵(동해안일대)/동계워크샵(선운사)/추계엠티(내장산)
1988,"제 11회 사진전시회/동계워크샵(경북일대)/춘계 엠티(화양동)/하계워크샵(부산,제주도)/추계엠티(화양동)"
1989,"제 12회 사진전시회/동계워크샵(서해안일대)/춘계 엠티(화양동)/하계워크샵(부산,제주도)/추계엠티(화양동)"
1990,제 13회 사진전시회/동계워크샵(설악산일대)/춘계엠티(월악산일대)/하계워크샵(부산)/추계엠티(부산)
1991,제 14회 사진전시회/동계워크샵(동해안일대)/춘계엠티(월악산일대)/하계워크샵(부산)/추계엠티(부산)
1992,제 15회 사진전시회/동계워크샵(동해안일대)/춘계엠티(설악산)/하계워크샵(부산)/추계엠티(부산)
1993,제 16회 사진전시회/동계워크샵(제주도)/하계워크샵(동해안일대)
1994,"제 17회 사진전시회/동계워크샵(지리산,전라도일대)/춘계엠티(속리산)/하계워크샵(지리산,비금도)"
1995,제 18회 사진전시회/동계워크샵(서해안일대)/춘계엠티(계룡산)/하계워크샵(강원도일대)/추계엠티(태안)
1996,"제 19회 사진전시회/동계워크샵(경북,풍기일대)/춘계엠티"
1997,"제 20회 사진전시회/동계워크샵(전북일대)/춘계엠티(속리산)/하계워크샵(전남일대)/추계엠티(목포,부산,광주,정선)"
1998,"제 21회 사진전시회/동계워크샵(강원도일대)/신입생 환영전시회/춘계엠티(속리산)/하계워크샵(충남일대)/추계엠티(전북,강원일대)"
2000,제 23회 사진전시회/동계워크샵(설악산일대)/춘계엠티(월악산일대)/하계워크샵(부산)/추계엠티(부산)
2001,"제 24회 사진전시회/춘계엠티(삼탄)/하계워크샵(전라도일대)/추계엠티(영덕,속초,부산)"
2002,"제 25회 사진전시회/동계워크샵(지리산일대)/춘계엠티(화양동)/하계워크샵(전남일대)/추계엠티(보성,강화도)"
2003,"제 26회 사진전시회/동계워크샵(강원도일대)/춘계엠티(계룡산)/하계워크샵(강원도일대)/추계엠티(보성,경주)"
2004,"제 27회 사진전시회/동계워크샵(해남)/춘계엠티(대천)/하계워크샵(충남,전북일대)/추계엠티(전라도,경상도,강원도)"
2005,"제 28회 사진전시회/동계워크샵(전남일대)/춘계엠티(화양동)/하계워크샵(강원도일대)/추계엠티(전라도,경상도,강원도)"
2006,"제 29회 사진전시회/동계워크샵(지리산일대)/춘계엠티(대천)/하계워크샵(전라도일대)/추계엠티(남해,동해)"
2007,"제 30회 사진전시회/동계워크샵(태안반도)/춘계엠티(대천)/하계워크샵(전라도일대)/추계엠티(강원도,거제도)"
2008,"제 31회 사진전시회/동계워크샵(대천)/춘계엠티(대천)/하계워크샵(전라도일대)/추계엠티(강원도,부산,거제도)"
2009,"제 32회 사진전시회/동계워크샵(동해안)/춘계엠티(화양동)/하계워크샵(전라도,충청도일대)/추계엠티(남해,동해)"
2010,제 33회 사진전시회/춘계엠티(대전)/하계워크샵(강원도일대)/추계엠티(전라도일대)
2011,제 34회 사진전시회/동계워크샵(태안일대)/춘계엠티(화양동)/하계워크샵(전라도일대)/추계엠티(거제도)
2012,"제 35회 사진전시회/춘계엠티(화양동)/하계워크샵(구미,포항)/추계엠티(부산,남해,전주)"
2013,"제 36회 사진전시회/춘계엠티(화양동)/하계워크샵(정읍,순천,여수)/추계엠티(양평,파주,강화,전주,함양)"
2014,"제 37회 사진전시회/춘계엠티(화양동)/하계워크샵(춘천,주문진)/추계엠티(부산,거제,통영)"
2015,"제 38회 사진전시회/동계워크샵(춘천)/춘계엠티(화양동)/하계워크샵(순천,여수,담양,전주)/추계엠티(부산,거제,통영)"
2016,"제 39회 사진전시회/동계워크샵(춘천)/하계워크샵(군산,고창,남원)/추계엠티(전주)"
2017,"제 40회 사진전시회/춘계엠티(전주)/하계워크샵(안동,단양)"
2018,제 41회 사진전시회/춘계엠티(전주)/하계워크샵(서울)/추계엠티(춘천)
2019,제 42회 사진전시회/동계워크샵(순천)/춘계엠티(전주)
2020,제 43회 사진전시회
2021,제 44회 온라인 사진전시회
